phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,0.28106468117795885,0.0,0.0,0.28106468117795885,0.0,0.0,0.0,0.0,0.9172221990426381,0.03919541636481881,0.9877999818325043,66.8846971988678
finetune,2,0.24182083217013214,0.0,0.0,0.24182083217013214,0.0,0.0,0.0,0.0,0.9227110888560613,0.03480802095029503,0.9881999826431275,53.02895712852478
finetune,3,0.22543122722042933,0.0,0.0,0.22543122722042933,0.0,0.0,0.0,0.0,0.9253999775648117,0.03776973388623446,0.9877999836206436,53.457935094833374
finetune,4,0.22272275760769844,0.0,0.0,0.22272275760769844,0.0,0.0,0.0,0.0,0.9281110885408189,0.04698585386388004,0.9835999804735184,53.340208530426025
finetune,5,0.22449416930890745,0.0,0.0,0.22449416930890745,0.0,0.0,0.0,0.0,0.9266888661517038,0.03928432508604601,0.9871999859809876,53.59404420852661
finetune,6,0.22134211572508017,0.0,0.0,0.22134211572508017,0.0,0.0,0.0,0.0,0.9277777553929223,0.05154548322316259,0.9813999819755554,53.57766819000244
finetune,7,0.21835458767393398,0.0,0.0,0.21835458767393398,0.0,0.0,0.0,0.0,0.9286888665623135,0.03949695836054161,0.988399983048439,53.75789999961853
finetune,8,0.2206176591105759,0.0,0.0,0.2206176591105759,0.0,0.0,0.0,0.0,0.9286666443612841,0.0453214122634381,0.9847999799251557,53.4166202545166
finetune,9,0.21646371346794896,0.0,0.0,0.21646371346794896,0.0,0.0,0.0,0.0,0.9290666437811321,0.0414513610675931,0.9845999819040299,53.57125234603882
finetune,10,0.21262744606886472,0.0,0.0,0.21262744606886472,0.0,0.0,0.0,0.0,0.929288865990109,0.04208371924236417,0.9865999817848206,53.31614446640015
finetune,11,0.20640795447760157,0.0,0.0,0.20640795447760157,0.0,0.0,0.0,0.0,0.9322666439082887,0.04446683334652334,0.985399980545044,53.385810136795044
finetune,12,0.1983625205916663,0.0,0.0,0.1983625205916663,0.0,0.0,0.0,0.0,0.9348666444089677,0.04612005176953971,0.9833999782800674,53.55772876739502
finetune,13,0.19151860414486793,0.0,0.0,0.19151860414486793,0.0,0.0,0.0,0.0,0.9371999775038825,0.03495152811519801,0.989799987077713,53.42131209373474
finetune,14,0.184863916232975,0.0,0.0,0.184863916232975,0.0,0.0,0.0,0.0,0.9395110880666309,0.043125150566920636,0.9849999833106995,53.50823211669922
finetune,15,0.18021081619999474,0.0,0.0,0.18021081619999474,0.0,0.0,0.0,0.0,0.9408666442500221,0.04227003249339759,0.9871999835968017,53.418174028396606
finetune,16,0.18167784065939485,0.0,0.0,0.18167784065939485,0.0,0.0,0.0,0.0,0.9400666440195508,0.035563880270347,0.9879999840259552,53.54121923446655
finetune,17,0.17110466812116404,0.0,0.0,0.17110466812116404,0.0,0.0,0.0,0.0,0.9437999775674608,0.034548430615104736,0.9885999846458435,53.85255980491638
finetune,18,0.1616391455423501,0.0,0.0,0.1616391455423501,0.0,0.0,0.0,0.0,0.9477333113220003,0.03776096757268533,0.987399982213974,53.22836375236511
finetune,19,0.1586166544838084,0.0,0.0,0.1586166544838084,0.0,0.0,0.0,0.0,0.9474444219138887,0.03320581592619419,0.9899999874830246,53.53505849838257
finetune,20,0.15604148286446515,0.0,0.0,0.15604148286446515,0.0,0.0,0.0,0.0,0.949177755051189,0.03484029146376997,0.9903999865055084,53.337443113327026
finetune,21,0.15080905871621023,0.0,0.0,0.15080905871621023,0.0,0.0,0.0,0.0,0.9506666443083022,0.033000368517823515,0.9901999872922898,53.73393487930298
finetune,22,0.1425381641322747,0.0,0.0,0.1425381641322747,0.0,0.0,0.0,0.0,0.9542221999168397,0.03174354418180883,0.992399987578392,53.47514462471008
finetune,23,0.13896612183139143,0.0,0.0,0.13896612183139143,0.0,0.0,0.0,0.0,0.9554444214370515,0.02674811797682196,0.9919999879598618,53.38527011871338
finetune,24,0.13715709383289018,0.0,0.0,0.13715709383289018,0.0,0.0,0.0,0.0,0.9570666449599796,0.0283178373798728,0.9929999905824661,53.46300959587097
finetune,25,0.13399112093779775,0.0,0.0,0.13399112093779775,0.0,0.0,0.0,0.0,0.9578222001923455,0.025119635660666974,0.9935999900102616,53.6158721446991
finetune,26,0.13206940316491655,0.0,0.0,0.13206940316491655,0.0,0.0,0.0,0.0,0.957377755774392,0.023793227120768277,0.993799991607666,53.32882618904114
finetune,27,0.12938542858542254,0.0,0.0,0.12938542858542254,0.0,0.0,0.0,0.0,0.9574888665146298,0.02151545451954007,0.9941999912261963,53.2593195438385
finetune,28,0.1290902123025929,0.0,0.0,0.1290902123025929,0.0,0.0,0.0,0.0,0.9585555333561367,0.024227831168100237,0.9937999904155731,53.37406253814697
finetune,29,0.1296833417699155,0.0,0.0,0.1296833417699155,0.0,0.0,0.0,0.0,0.9582666442791621,0.022773377276025714,0.993599990606308,53.376498222351074
finetune,30,0.12641595889503757,0.0,0.0,0.12641595889503757,0.0,0.0,0.0,0.0,0.9592666450473998,0.022826417917385697,0.9933999896049499,53.29570722579956
